cpf,nome,email,telefone,renda_estimada,score_credito
80097805297,Victor Lemos,victor.lemos@email.com,11999990037,3338,709
31536374156,Tatiane Lopes,tatiane.lopes@email.com,27934187504,19346,473
78889656360,Igor Costa,Igor.costa2@email.com,61960929092,20935,809
57132921509,Juliana Macedo,juliana.macedo3@email.com,71992017164,14237,726
83571796306,Mateus Rocha,mateus.rocha4@email.com,47975650037,4907,434
40698923464,Tiago Almeida,tiago.almeida5@email.com,95909311833,6685,868
15542260900,Rafaela Gomes,Rafaela.gomes6@email.com,82924353638,11793,377
40150964870,Patricia Teixeira,patricia.teixeira7@email.com,92994660610,4063,822
21370659407,Gustavo Costa,Gustavo.costa8@email.com,11993195481,8664,474
52448283630,Camila Freitas,Camila.freitas9@email.com,62989978522,7530,413
42729138595,Julio Silva,Julio.silva10@email.com,27967476788,4056,503
36625085910,Rafael Costa,rafael.costa@email.com,11977138862,15289,825
80838637183,Alexandre Almeida,alexandre.135@email.com,84984137568,8381,777
17197485860,Paulo Gomes,Paulo.gomes13@email.com,11927893996,8244,634
04195977606,Vanessa Pacheco,vanessa.pacheco@email.com,11955286949,19959,487
82513927303,Diego Ribeiro,diego.ribeiro@email.com,11930004990,20985,343
74117869850,Flavio Gomes,Flavio.gomes16@email.com,71978429714,23020,329
75237269680,Carlos Macedo,Carlos.macedo17@email.com,93909155634,12075,835
46487407267,Ana Paula Freitas,paula.freitas18@email.com,31980618828,12914,501
74248196239,Luciana Martins,luciana.martins19@email.com,83931628323,16817,504
18080850607,Bruno Macedo,bruno.macedo20@email.com,71918170416,20053,684
44666417222,Michele Ribeiro,michele.ribeiro21@email.com,67950810781,22829,437
56832624530,Igor Pinheiro,igor.pinheiro@email.com,63999990033,19895,686
92614025690,Lucas Santos,lucas.santos@email.com,11999990005,2269,466
50666830622,Carolina Costa,carolina.costa24@email.com,62959130584,14890,395
92875939149,Bianca Martins,bianca.martins25@email.com,19918226158,4471,576
94725751960,Bruno Alves,bruno.alves@email.com,45936563205,15510,850
26453168596,Jose Almeida,jose.almeida101@email.com,11986141366,5332,621
89252134948,Gabriel Costa,gabriel.costa28@email.com,85970627620,13500,373
14440473377,Sabrina Queiroz,sabrina.queiroz@email.com,32983866255,21535,678
21841108090,Fernanda Souza,fernanda.souza30@email.com,71942914237,19779,644
78514088068,Ana Oliveira,ana.oliveira@email.com,11969878032,7147,744
49003690553,Debora Ribeiro,debora.ribeiro32@email.com,44944564274,2303,758
80914679406,Patricia Oliveira,Patricia.oliveira33@email.com,86969531494,23353,538
21006988009,Andre Lima,andre.121@email.com,11999990021,19895,627
40352029595,Marcos Teixeira,marcos.teixeira35@email.com,11973763790,12347,480
57629326130,Ana Clara,ana.clara104@email.com,41933114181,4356,348
98976699815,Maria Souza,maria.souza@email.com,11947635507,3650,728
46196360965,Daniela Rocha,daniela.rocha38@email.com,41961426264,7075,333
37894159107,Eduardo Teixeira,eduardo.teixeira39@email.com,48970770172,13932,659
36463097098,Diego Gomes,diego.gomes40@email.com,91980486993,20061,488
69744053593,Isis Lima,isis.lima41@email.com,51936703431,23150,814
53106932708,Samuel Costa,samuel.costa42@email.com,66962346440,10173,697
01573733989,Rodrigo Torres,rodrigo.torres43@email.com,21967236212,19464,561
85144142400,Caio Martins,caio.martins44@email.com,54998184961,16517,372
31119917093,Sabrina Gomes,sabrina.gomes45@email.com,79958244239,9509,772
35531083980,Renan Barros,renan.barros46@email.com,65994058528,4965,542
54176380489,Samuel Fonseca,samuel.fonseca@email.com,66954907554,5178,826
75989327277,Renato Barros,renato.barros48@email.com,67926646612,18391,771
42494726808,José Oliveira,jose.oliveira49@email.com,51955228218,5164,650
32962860559,Carla Teixeira,carla.teixeira50@email.com,83960679608,9897,659
16525579031,Robson Costa,robson.costa51@email.com,48962084312,23023,530
93602690261,Felipe Costa,felipe.costa52@email.com,82909886535,18009,632
68871857259,Fabio Lima,fabio.lima53@email.com,79924112416,21877,521
03044467934,Leandro Peixoto,leandro.peixoto@email.com,21997622912,8966,608
27864464815,Alexandre Brito,alexandre.brito@email.com,54916530334,10795,374
85466877220,Simone Azevedo,simone.azevedo@email.com,91930445658,7020,822
03571702379,Otavio Silva,otavio.silva57@email.com,84989471995,7567,304
28043495602,André Cunha,andre.cunha@email.com,86927790568,13274,764
29443485826,Nadia Oliveira,nadia.oliveira59@email.com,19941224963,3099,809
51078470308,Jonas Freitas,Jonas.freitas60@email.com,92987399063,24045,458
93242301668,Luciana Meireles,luciana.meireles@email.com,41924321679,21667,589
58381906989,Paulo Henrique,paulo.henrique@email.com,11928787381,4655,595
28558849935,Priscila Rangel,priscila.rangel@email.com,19935041754,21824,539
54061930745,Cesar Almeida,cesar.almeida64@email.com,21996688784,12323,519
45626395806,Erica Lima,erica.lima65@email.com,31923659635,22068,841
03419052596,Talita Macedo,talita.macedo66@email.com,65930481060,17807,727
36851846365,Thiago Torres,thiago.torres67@email.com,84981373021,4887,856
95456442817,Murilo Barros,murilo.barros68@email.com,47996286366,18931,836
44180212641,Leandro Silva,leandro.silva69@email.com,51992822148,6677,604
91953782949,Michele Duarte,michele.duarte@email.com,43921943434,23539,882
55905921350,Aline Almeida,aline.almeida71@email.com,83936592762,18553,528
38186952101,Daniela Silva,daniela.silva72@email.com,81996740032,9813,629
87771530575,Rodrigo Neves,rodrigo.neves@email.com,27936201388,24812,511
01295407655,Priscila Costa,priscila.costa74@email.com,71984141140,13022,748
71115495208,Elaine Antunes,elaine.antunes@email.com,21912247255,18878,744
93734367328,Wagner Paiva,wagner.paiva@email.com,15931312001,18001,799
78376354000,Vanessa Costa,vanessa.costa77@email.com,79906409318,9485,532
94627833300,Marcos Mota,marcos.mota@email.com,65974803281,20365,730
93680151390,Daniela Mota,daniela.mota@email.com,85970113020,9324,425
54827985340,Wagner Gomes,wagner.gomes80@email.com,15911991715,14638,859
53450526464,Priscila Barros,priscila.barros81@email.com,83919311380,22615,788
94064847067,Fernanda Macedo,fernanda.macedo82@email.com,62922578415,23485,397
19370804633,Tatiane Silva,tatiane.silva83@email.com,41936330987,12635,444
51288409800,Livia Oliveira,livia.oliveira84@email.com,62946903704,5539,781
36734264785,Leandro Freitas,leandro.freitas85@email.com,13911940710,7424,660
26805187990,Bianca Lima,bianca.lima86@email.com,67938392694,16122,855
14151464034,Camila Martins,camila.martins@email.com,85999990012,24573,770
19172370572,Fábio Tavares,fabio.tavares@email.com,13999990041,22541,486
89382184490,Juliana Ribeiro,juliana.ribeiro89@email.com,81974121884,23142,641
76516673950,Renan Figueiredo,renan.figueiredo@email.com,62928355585,4505,444
44284374800,Bruno Silva,bruno.silva.105@email.com,31993932661,7545,826
93571395913,João Silva,joao.silva@email.com,11999990001,3400,817
85412636497,Carolina Torres,carolina.torres@email.com,98932483893,21616,405
21790670624,Ulisses Barros,ulisses.barros94@email.com,67941634479,12810,315
46428656086,Carlos Pereira,carlos.pereira.103@email.com,21918871590,8702,662
12908495287,Renata Rocha,renata.rocha96@email.com,27918066820,17549,332
77649700348,Henrique Torres,henrique.torres97@email.com,85910645914,23296,833
91551818132,Isabela Oliveira,isabela.oliveira98@email.com,68992729492,11335,461
13153943087,Hugo Torres,hugo.torres99@email.com,81903860075,9939,588
25458940016,Aline Teixeira,aline.teixeira100@email.com,21945220873,24422,733
37869069981,Jose Silva,jose.silva@email.com,11951712044,14654,519
simone.costa102@email.com,Simone Costa,simone.costa102@email.com,92971210027,9817,360
22933802899,Maria Oliveira,maria.oliveira103@email.com,11955571895,24597,322
04708928203,Carlos Pereira,carlos.pereira@email.com,41998524995,6222,544
27991664074,Sandro Costa,sandro.costa105@email.com,79911853783,23016,806
74712736909,Thiago Moreira,thiago.moreira@email.com,51953110056,7991,879
29651618485,Isabela Prado,isabela.prado65@email.com,68917251238,24861,561
28445771132,Murilo Barcellos,murilo.barcellos@email.com,47983194737,17865,765
01783405538,Fernanda Lima,fernanda.lima@email.com,11999990006,18578,672
43545307832,Larissa Batista,larissa.batista@email.com,92913353187,18294,370
03143012676,Larissa Costa,larissa.costa111@email.com,19979227151,2895,600
31613936192,Maria Souza,maria.souza.102@email.com,11999990002,6927,639
30487408802,Cláudia Rezende,claudia.rezende@email.com,62947716145,17372,507
07211609052,Bianca Farias,bianca.farias@email.com,71916687327,13120,708
93909645208,Marcos Freitas,marcos.freitas@email.com,79958293242,17000,688
24954250030,Rafael Macedo,rafael.macedo116@email.com,85908568405,15168,525
59117978874,Roberta Oliveira,roberta.oliveira117@email.com,43965543818,5900,430
87054283279,Renata Barros,renata.barros@email.com,31909278993,19790,508
19166986974,Eduardo Araújo,eduardo.araujo@email.com,11972270242,16948,609
64874992854,Ana Lima,ana.lima120@email.com,71948440694,20360,459
82630906604,Natalia Torres,natalia.torres121@email.com,27966142173,16749,538
58681829289,Igor Lima,igor.lima122@email.com,48902837412,3493,456
77856655755,Felipe Nogueira,felipe.nogueira@email.com,83949483889,13764,392
98726958309,Fabio Gomes,fabio.gomes124@email.com,13925091954,24022,883
24569836453,Henrique Guedes,henrique.guedes@email.com,16916777826,9539,432
69563731735,Roberta Siqueira,roberta.siqueira@email.com,43928744202,14003,599
60887054692,Paulo Almeida,paulo.almeida127@email.com,91979500022,17607,303
85035567583,Vanessa Ribeiro,Vanessa.ribeiro128@email.com,96994521774,12896,675
34507364000,Claudio Torres,claudio.torres129@email.com,98944034800,21281,832
37264862160,Claudia Torres,claudia.144@email.com,62941094408,14726,532
67373206271,Juliana Rocha,juliana.rocha2026@email.com,11915143765,24827,649
07837804945,Caio Mendonça,caio.mendonca@email.com,54996516933,22920,732
91875606661,Karen Barros,karen.barros133@email.com,91909373215,17502,739
46308905054,Eduardo Gomes,eduardo.gomes134@email.com,65981891849,16089,540
84589306486,Gustavo Teixeira,gustavo.teixeira135@email.com,41938649669,7226,496
11292657663,Diego Costa,diego.costa136@email.com,31928368864,20695,301
06106078682,Pedro Freitas,pedro.freitas137@email.com,11949548793,2410,450
74486470020,Patricia Macedo,patricia.macedo138@email.com,11931945114,16317,330
43414032102,Carla Martins,carla.martins139@email.com,11962289037,15813,802
51248015633,Bruno Torres,bruno.torres140@email.com,51985530061,2046,867
66783594289,Pedro Lima,pedro.lima141@email.com,61936611983,17366,489
69243105176,Felipe Souza,felipe.souza142@email.com,71961018474,15960,678
80205170543,Diego Souza,diego.souza143@email.com,61989223674,3663,534
37448718778,Felipe Almeida,felipe.almeida144@email.com,31945781347,17274,484
00583024162,Felipe Souza,felipe.souza145@email.com,61971055637,10419,848
21676618482,Mariana Gomes,mariana.gomes146@email.com,51949427555,11334,860
13113906281,Fernanda Macedo,fernanda.macedo147@email.com,61993899680,16284,418
68939984018,Ana Costa,ana.costa148@email.com,21909088661,2386,442
97203142331,Pedro Lima,pedro.lima149@email.com,51950090091,11091,854
89642601801,Fernanda Gomes,fernanda.gomes150@email.com,11960785133,13397,358
89476739648,Mariana Gomes,mariana.gomes151@email.com,71932914958,24437,443
32040149567,Ana Oliveira,ana.oliveira152@email.com,61979205450,9332,699
76431166409,Ana Oliveira,ana.oliveira153@email.com,21932454944,8620,814
08387173007,Carla Almeida,carla.almeida154@email.com,61955995357,11264,394
28681032968,Pedro Ribeiro,pedro.ribeiro155@email.com,21974278918,20220,625
23128824841,Lucas Torres,lucas.torres156@email.com,41956648674,12148,817
02436877913,Carla Torres,carla.torres157@email.com,11975640487,21151,328
30454533339,Lucas Barros,lucas.barros158@email.com,21991065746,3901,701
95248042439,Diego Lima,diego.lima159@email.com,51937572592,8509,441
69558164754,Lucas Rocha,lucas.rocha160@email.com,31957768573,7059,626
91613945291,Ana Silva,ana.silva161@email.com,31936324719,13668,409
66758639907,Ana Almeida,ana.almeida162@email.com,11930196040,8966,443
97633210076,Felipe Freitas,felipe.freitas163@email.com,71947548338,24266,545
